date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:57	1474/1474	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Aug%202023%2008:04:57%20GMT	https://dinhduyvinh.id.vn/robots.txt		(from )
15:04:57	533561/533561	---MCZ	200	added ('OK')	text/html	etag:W/%22f706124b1a8195e37c1da26b8db61634%22	https://dinhduyvinh.id.vn/	C:/My%20Web%20Sites/thongtin%20ca%20nhan/dinhduyvinh.id.vn/index.html	(from )
15:04:57	21295/21295	---M--	200	added ('OK')	image/png	etag:%228547d2cb8dbdb8ef5a9ff34261ff4d93%22	https://dinhduyvinh.id.vn/assets/img/favicon.png	C:/My%20Web%20Sites/thongtin%20ca%20nhan/dinhduyvinh.id.vn/assets/img/favicon.png	(from https://dinhduyvinh.id.vn/)
15:04:57	110438/110438	---M-Z	200	added ('OK')	text/css	etag:W/%221af66-MA7aTWKCoG0FYjklj9PTw0TfSFM%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	C:/My%20Web%20Sites/thongtin%20ca%20nhan/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	(from https://dinhduyvinh.id.vn/)
15:04:58	147188/147188	---M-Z	200	added ('OK')	text/css	etag:W/%2278b5da94a3676e0306c2b973cf5e0748%22	https://cdn-uicons.flaticon.com/uicons-bold-rounded/css/uicons-bold-rounded.css	C:/My%20Web%20Sites/thongtin%20ca%20nhan/cdn-uicons.flaticon.com/uicons-bold-rounded/css/uicons-bold-rounded.css	(from https://dinhduyvinh.id.vn/)
15:04:58	147171/147171	---M-Z	200	added ('OK')	text/css	etag:%2260662c6f8ef9f42d16e16ce7fac06515%22	https://cdn-uicons.flaticon.com/uicons-solid-rounded/css/uicons-solid-rounded.css	C:/My%20Web%20Sites/thongtin%20ca%20nhan/cdn-uicons.flaticon.com/uicons-solid-rounded/css/uicons-solid-rounded.css	(from https://dinhduyvinh.id.vn/)
15:04:59	15059/15059	---M-Z	200	added ('OK')	text/css	etag:%225235bf04cb05ede78db04448b2ecdc17%22	https://cdn-uicons.flaticon.com/uicons-brands/css/uicons-brands.css	C:/My%20Web%20Sites/thongtin%20ca%20nhan/cdn-uicons.flaticon.com/uicons-brands/css/uicons-brands.css	(from https://dinhduyvinh.id.vn/)
15:04:59	18932/18932	---MCZ	200	added ('OK')	text/css	etag:W/%22c6bedf3cdbb7c109cda9bfdcee5aca85%22	https://dinhduyvinh.id.vn/assets/css/styles.css	C:/My%20Web%20Sites/thongtin%20ca%20nhan/dinhduyvinh.id.vn/assets/css/styles.css	(from https://dinhduyvinh.id.vn/)
15:04:59	9440/9440	---M-Z	200	added ('OK')	application/javascript	etag:W/%2224e0-md7oMxINU+TB7B9e3eVVJ8o8HJE%22	https://cdn.jsdelivr.net/npm/disable-devtool@0.1.11/disable-devtool.min.js	C:/My%20Web%20Sites/thongtin%20ca%20nhan/cdn.jsdelivr.net/npm/disable-devtool@0.1.11/disable-devtool.min.js	(from https://dinhduyvinh.id.vn/)
15:04:59	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Aug%202023%2008:05:00%20GMT	https://dinhduyvinh.id.vn/npm/disable-devtool.min.js	C:/My%20Web%20Sites/thongtin%20ca%20nhan/dinhduyvinh.id.vn/npm/disable-devtool.min.js	(from https://dinhduyvinh.id.vn/)
15:05:01	3358/3358	---M--	200	added ('OK')	image/png	etag:%22798ba97cccaaab5fd66beaeb5e918c30%22	https://i.imgur.com/x30GVSD.png	C:/My%20Web%20Sites/thongtin%20ca%20nhan/i.imgur.com/x30GVSD.png	(from https://dinhduyvinh.id.vn/)
15:05:02	105654/105654	---M--	200	added ('OK')	image/jpeg	etag:%22630bb69e55500eda07f21fa7a891bc55%22	https://i.imgur.com/9KL7Ugv.jpg	C:/My%20Web%20Sites/thongtin%20ca%20nhan/i.imgur.com/9KL7Ugv.jpg	(from https://dinhduyvinh.id.vn/)
15:05:02	96509/96509	---M--	200	added ('OK')	image/jpeg	etag:%22b067e9090a6932a9cbb93701745d8a23%22	https://i.imgur.com/lL3G0Ki.jpg	C:/My%20Web%20Sites/thongtin%20ca%20nhan/i.imgur.com/lL3G0Ki.jpg	(from https://dinhduyvinh.id.vn/)
15:05:03	210918/210918	---M--	200	added ('OK')	image/gif	etag:%22d0a50aa986c0fb2372269481e81744e4%22	https://i.imgur.com/PGMBQp2.gif	C:/My%20Web%20Sites/thongtin%20ca%20nhan/i.imgur.com/PGMBQp2.gif	(from https://dinhduyvinh.id.vn/)
15:05:03	299733/299733	---M--	200	added ('OK')	image/jpeg	etag:%22d801c6a3d554c062eca3c8612c50f32b%22	https://i.imgur.com/7xoSIWL.jpg	C:/My%20Web%20Sites/thongtin%20ca%20nhan/i.imgur.com/7xoSIWL.jpg	(from https://dinhduyvinh.id.vn/)
